	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
5130	10	3	9	4	8	4	5	6	3	7	4	5	2	5	8	9	0	3	4	3	2	4	6	2	6	1	4	1	7	0	3	7	2	3	5	4	9	9	3	2	2	1	12	1	4	4	6	2	12	11	9	6	10	2	14	4	10	8	0	8	6	2	0	6	6	1	6	1	2	4	8	4	2	7	3	0	4	6	9	1	1	2	3	1	4	12	10	10	0	5	1	1	0	5	5	2	2	9	7	1
5131	10	4	6	5	5	2	2	4	11	9	6	1	10	6	1	3	4	0	6	1	6	7	6	1	6	10	3	10	4	1	3	11	6	1	2	4	4	4	10	0	3	7	4	3	10	5	3	9	3	4	4	8	8	4	7	0	4	9	1	6	14	6	0	4	4	0	0	2	6	7	5	11	7	7	0	8	3	2	4	4	6	6	10	5	3	0	3	3	8	10	2	3	4	5	5	7	5	0	5	2
5132	9	4	2	7	6	0	2	9	5	10	4	0	13	6	2	2	5	0	13	4	3	4	4	0	2	3	1	5	4	1	6	9	8	1	8	8	2	5	7	1	6	7	4	7	14	7	5	5	7	3	2	9	6	0	5	1	0	4	5	8	11	8	0	3	5	0	0	4	3	5	4	9	13	2	0	6	2	7	4	2	4	6	11	3	2	1	4	2	9	10	4	2	13	8	3	3	8	0	1	0
5140	5	3	9	10	12	5	4	10	8	6	6	3	9	2	1	12	8	2	1	6	4	5	6	2	2	8	4	10	2	0	2	4	3	8	3	1	5	10	1	5	2	1	9	3	4	7	5	4	5	14	9	2	9	8	17	5	2	7	4	6	8	6	1	7	9	5	7	3	8	3	7	7	4	7	6	0	11	10	7	4	2	9	1	5	6	7	5	4	5	2	7	5	0	12	5	1	7	15	7	0
5141	6	4	12	5	3	0	7	0	0	5	6	9	1	8	5	9	1	1	1	8	5	12	5	1	6	4	3	5	2	0	5	0	11	4	9	0	3	5	0	9	4	5	6	10	5	5	7	2	3	7	9	10	1	4	6	5	7	6	0	2	5	7	0	10	8	6	6	2	5	1	1	5	7	11	0	3	16	8	6	6	3	6	0	9	3	5	4	4	5	6	7	2	1	10	8	1	0	6	6	9
5142	5	3	5	4	0	2	8	3	0	8	3	8	4	7	2	5	2	3	2	5	3	5	8	0	6	3	4	6	2	1	3	0	6	7	10	1	3	4	0	8	5	2	7	9	2	5	7	5	9	10	7	7	1	3	5	1	4	5	0	6	2	4	0	5	7	3	3	1	7	1	8	3	6	8	2	0	4	6	9	2	10	6	4	6	1	9	2	2	3	8	4	3	3	9	5	5	0	4	4	2
5144	7	5	9	2	4	2	1	3	6	5	5	0	8	9	4	5	5	0	7	1	8	8	4	1	3	7	2	4	5	2	10	9	6	1	7	5	1	5	7	3	9	6	2	0	6	5	1	8	4	4	4	10	11	1	5	2	0	4	2	6	8	3	0	3	5	0	0	7	8	7	4	7	8	4	0	4	5	7	2	7	4	4	4	3	1	4	2	3	7	9	1	2	11	2	1	8	14	0	3	9
5148	5	6	1	1	4	0	8	3	3	4	9	6	1	9	9	8	1	1	7	5	5	2	5	6	2	4	5	4	12	4	5	5	7	4	3	8	14	8	6	0	2	7	1	3	8	9	5	5	2	4	7	4	6	9	2	4	3	4	2	8	6	11	1	5	2	1	3	4	4	5	3	4	5	3	6	4	5	5	5	9	12	2	4	6	3	1	5	5	10	5	3	5	1	7	12	4	5	3	1	6
5151	9	3	2	1	8	0	13	3	3	2	5	5	3	10	3	9	4	2	4	5	2	4	7	6	4	0	6	8	5	4	4	0	12	3	4	2	10	8	4	4	6	9	0	1	4	10	7	7	3	1	5	6	6	1	8	2	0	4	4	3	6	5	0	8	4	2	12	2	7	0	0	8	17	9	2	6	5	7	8	2	8	4	3	3	1	5	14	6	14	4	5	2	4	7	7	1	11	3	5	8
5153	3	4	9	7	9	12	3	7	2	2	2	2	0	3	1	8	7	6	4	2	2	9	9	4	8	5	9	0	7	8	5	7	6	1	2	1	8	6	9	10	5	1	3	5	6	9	2	3	7	6	7	4	2	6	4	5	10	5	13	3	2	7	2	5	3	12	4	6	5	4	3	9	10	4	10	4	5	0	7	3	2	5	1	3	4	9	5	2	2	2	4	1	5	6	2	2	0	5	4	7
5154	4	8	4	5	7	12	6	6	4	1	1	2	2	5	0	12	7	6	2	5	1	1	9	4	5	2	4	0	4	2	3	6	7	0	4	3	9	8	3	6	8	2	2	3	5	6	1	5	7	2	2	7	5	3	7	1	5	5	4	4	4	10	0	2	1	5	8	7	8	5	6	5	2	2	6	6	8	0	4	1	8	4	5	6	4	7	6	11	7	0	8	5	4	6	5	1	1	9	4	8
5157	8	6	5	4	5	1	11	5	4	6	5	14	5	10	4	9	7	3	2	8	2	9	2	5	10	2	2	8	9	7	3	3	5	4	4	3	5	3	7	7	1	6	0	1	9	8	8	8	6	9	4	8	6	6	3	4	0	7	3	6	7	0	1	4	0	6	5	2	5	5	0	6	5	3	0	2	4	5	4	4	2	4	9	2	3	4	5	4	4	7	7	6	5	4	8	3	5	3	11	4
5162	3	14	4	5	7	4	14	7	10	5	0	3	7	3	5	5	10	1	9	4	3	9	11	8	3	3	14	13	1	0	9	2	7	4	5	3	6	4	2	5	9	4	3	6	7	4	9	8	2	4	7	2	8	7	6	5	2	7	12	1	8	8	2	1	4	2	6	5	2	3	3	7	5	4	4	3	10	4	6	7	3	1	11	3	8	5	4	3	2	7	7	5	2	7	1	4	1	8	5	2
5164	3	6	7	1	4	0	1	6	3	7	9	4	7	3	0	5	4	6	3	2	1	6	6	3	3	0	9	9	7	10	1	6	5	7	2	5	0	4	6	7	5	2	10	2	11	10	4	3	10	4	5	9	8	1	1	3	3	9	7	6	7	8	2	5	1	6	7	11	5	5	5	7	4	2	7	1	3	2	8	0	1	6	8	6	4	7	2	1	7	3	6	4	5	5	4	7	2	3	2	3
5168	12	10	4	1	16	0	6	7	3	3	12	3	6	3	3	5	0	2	7	10	5	6	5	1	1	3	8	3	2	1	6	3	2	4	5	10	10	4	6	7	5	7	2	4	8	9	11	3	6	4	4	10	9	6	11	5	3	11	2	10	5	4	1	6	3	4	5	3	3	5	5	11	5	6	4	4	1	1	4	4	10	3	7	6	6	6	8	7	7	2	4	5	2	8	5	7	4	12	3	1
5169	1	3	3	11	3	8	12	10	11	4	1	2	6	4	6	12	13	3	8	2	9	6	9	3	6	9	5	11	5	0	6	3	7	2	5	1	15	4	3	3	3	9	4	7	13	0	7	4	9	0	4	7	6	1	2	7	1	12	9	1	11	6	1	3	0	2	2	4	3	7	1	5	9	4	5	9	3	6	4	2	6	6	9	4	3	0	2	2	6	4	4	5	1	9	8	5	4	4	2	2
5171	4	3	12	4	3	1	9	17	9	11	2	4	0	4	8	3	5	0	5	10	1	1	0	5	3	4	13	6	8	0	4	2	3	3	4	0	2	3	7	4	6	4	9	4	6	1	4	1	9	4	9	12	7	5	9	6	3	6	3	8	15	4	1	1	6	2	2	2	4	3	13	6	13	6	8	4	7	7	5	8	4	3	1	5	4	8	7	2	1	9	3	6	0	7	1	4	2	2	4	2
5174	6	8	8	9	3	1	9	11	9	2	8	8	5	0	9	6	4	4	6	7	5	9	4	10	0	2	3	11	1	1	2	1	10	1	9	2	18	3	9	8	7	8	3	4	11	3	13	10	7	3	2	4	12	10	3	10	2	7	7	7	9	3	5	3	4	2	6	6	8	6	2	5	11	6	4	7	7	4	5	8	6	7	10	3	2	4	2	1	3	5	4	1	2	9	5	3	2	9	5	9
5176	7	5	3	6	7	0	13	3	5	1	13	1	3	2	9	8	4	4	3	8	7	9	4	4	0	3	5	3	8	5	7	1	4	2	3	3	13	4	3	2	9	6	2	3	9	10	6	4	5	6	0	6	7	11	9	1	1	4	6	0	4	14	3	6	4	5	4	8	3	3	7	7	6	4	3	2	6	12	5	8	8	7	5	4	5	4	3	3	7	8	3	8	0	7	7	5	6	4	1	8
5181	5	6	8	13	3	2	7	7	3	3	0	3	10	2	3	4	1	5	14	9	3	8	8	5	3	5	9	8	4	0	6	0	6	0	6	1	8	7	4	6	8	7	4	9	6	6	8	10	5	4	4	3	12	8	5	3	0	7	5	2	2	5	0	3	6	1	1	3	4	10	8	6	1	5	1	6	7	4	5	6	1	8	6	5	9	3	5	4	10	4	1	6	1	7	2	4	0	2	6	3
5182	10	11	5	10	5	1	6	8	6	2	1	4	4	3	5	8	7	6	7	9	3	7	1	1	4	6	8	9	2	0	13	1	2	3	6	0	6	4	1	0	9	4	3	10	4	7	5	6	4	5	1	2	11	2	7	6	2	11	4	1	4	9	0	0	2	2	7	1	2	2	5	7	3	5	3	6	4	5	5	6	6	4	16	6	9	1	3	2	4	2	3	6	6	6	1	3	2	2	3	3
5183	6	4	1	11	5	3	7	10	4	8	1	7	4	4	7	10	4	5	3	3	3	7	5	5	1	8	4	5	5	3	2	7	5	4	2	2	2	4	2	3	4	4	4	7	6	7	7	2	5	8	10	11	11	2	11	2	0	7	2	8	6	8	2	0	6	5	3	11	3	0	7	6	13	7	1	0	4	7	3	9	7	5	2	5	2	5	5	1	2	5	4	4	1	7	6	1	0	0	3	4
5184	5	5	6	10	3	3	7	8	5	10	4	4	0	2	2	15	4	0	3	6	4	5	6	5	0	9	9	2	5	5	2	8	8	6	3	1	5	5	5	9	7	3	2	2	3	5	2	1	7	12	10	13	3	2	3	6	1	10	1	5	8	5	2	4	5	2	5	7	4	2	11	1	14	6	2	5	5	12	3	9	9	8	3	12	7	3	7	3	3	3	3	7	0	5	4	1	0	7	6	7
5189	5	4	14	10	7	3	8	3	7	4	10	0	1	4	6	5	4	5	18	9	8	5	3	3	0	1	4	7	5	2	1	5	5	4	4	6	10	4	8	9	7	7	3	3	10	6	6	6	0	3	6	4	6	5	4	9	5	9	3	4	1	4	1	0	8	2	9	9	3	4	0	7	6	6	8	14	4	5	5	8	4	0	13	1	15	0	9	1	6	5	2	7	2	6	10	6	2	8	6	7
5192	4	5	5	6	4	2	9	3	3	3	5	1	6	1	1	7	8	5	1	1	1	3	8	8	3	6	10	6	2	3	6	5	5	3	4	2	1	2	12	10	10	3	6	3	3	5	6	1	4	3	5	3	9	3	0	3	9	6	7	2	6	7	5	3	1	6	6	0	7	9	5	5	11	7	6	0	7	3	8	3	2	5	7	6	7	5	5	1	7	2	7	1	8	7	6	5	4	3	1	4
5195	3	10	7	13	6	4	11	13	9	3	3	3	7	1	8	4	1	9	10	4	2	4	4	4	5	8	8	10	4	2	4	3	6	6	3	0	8	4	3	3	6	5	6	6	5	3	9	6	6	3	4	2	6	10	6	7	3	5	5	0	10	6	0	1	2	1	1	5	3	4	1	16	3	5	4	6	6	5	4	5	4	5	11	3	6	0	3	2	4	3	4	5	3	11	2	6	8	9	6	4
5197	6	5	2	7	4	0	7	8	3	2	6	5	2	3	8	6	1	0	5	4	10	11	10	7	1	3	5	4	9	5	4	7	1	2	5	9	5	14	6	2	12	9	2	4	8	18	6	3	1	2	5	3	9	4	7	4	1	6	6	0	3	10	3	6	1	5	4	4	2	7	5	9	2	6	9	6	8	3	6	4	7	4	8	1	5	2	3	3	9	6	6	8	2	7	8	3	5	5	1	9
5206	12	12	6	2	10	4	4	7	7	1	5	7	8	7	8	2	1	2	5	8	5	4	6	1	0	1	15	5	3	4	8	1	3	5	3	10	12	11	7	9	8	10	2	3	8	8	8	3	5	10	9	10	4	3	9	4	4	10	4	3	1	2	2	7	13	3	2	1	6	7	3	5	4	1	5	5	1	4	11	10	8	3	11	7	6	2	11	2	9	4	4	6	0	8	7	7	2	8	4	5
5207	2	1	13	5	9	3	5	4	5	5	8	0	2	3	9	9	4	6	11	8	8	9	4	1	4	3	9	6	7	3	5	2	3	7	2	0	2	7	2	3	9	8	3	2	7	4	8	3	0	4	0	1	9	4	0	3	0	8	8	4	6	9	2	2	8	2	5	5	11	3	6	8	2	5	1	7	4	4	9	4	7	2	5	11	13	2	6	4	6	2	5	7	10	7	3	3	7	2	8	5
5208	5	2	5	7	3	6	4	2	7	8	3	0	0	5	5	7	1	3	3	9	7	2	5	3	7	4	12	9	4	3	6	4	8	2	3	1	4	8	1	5	6	7	2	2	8	8	6	4	2	8	3	2	4	5	1	4	6	8	8	8	6	2	2	2	4	1	8	6	5	4	1	4	2	6	0	3	9	6	3	9	7	1	5	4	5	2	9	8	8	2	3	10	12	9	1	4	3	4	11	4
5214	5	10	7	9	3	4	8	6	11	9	0	8	1	4	2	10	9	2	4	12	8	0	1	7	0	5	12	2	1	0	5	3	4	9	0	0	3	3	3	4	13	1	3	6	1	8	8	3	2	6	1	8	12	2	5	5	1	13	0	10	5	10	1	3	5	5	9	6	5	1	7	1	9	5	3	4	6	9	6	8	8	3	3	6	8	4	7	4	2	11	7	4	0	10	3	3	0	4	2	6
5215	4	8	9	9	5	0	4	8	8	7	0	7	0	3	2	13	9	2	5	4	3	3	5	4	1	4	6	9	5	2	5	3	6	6	3	0	1	2	5	4	6	4	12	3	6	4	3	6	3	10	5	4	5	6	7	2	1	4	1	3	12	3	0	4	11	0	0	4	8	4	12	1	7	3	8	8	3	7	3	6	6	10	8	7	4	9	4	0	1	10	10	6	1	7	3	9	0	11	6	7
5220	5	7	5	0	1	5	10	2	7	4	9	1	3	10	11	1	4	2	4	10	4	8	7	0	2	2	12	5	9	3	2	1	3	1	3	9	6	6	3	6	12	10	3	1	7	4	10	10	5	6	5	4	5	1	3	3	3	10	12	9	6	6	4	8	5	1	7	8	2	6	6	5	2	10	0	3	4	5	6	9	9	4	5	6	2	1	9	9	5	13	2	7	2	9	9	4	9	7	3	2
5222	3	2	7	2	5	0	4	6	11	3	13	5	9	3	6	2	4	3	7	8	2	8	2	7	0	1	5	9	10	7	2	0	2	11	5	10	9	10	8	2	15	7	4	6	10	8	6	6	0	4	4	6	1	3	12	5	4	6	9	8	5	6	4	5	4	4	8	2	5	8	4	10	4	5	5	3	1	6	8	6	7	7	4	5	5	2	7	3	9	6	6	9	2	11	8	4	6	10	9	2
5230	1	2	7	4	3	2	7	4	3	4	4	10	3	4	5	10	4	3	0	8	2	4	6	6	2	3	4	12	3	1	3	7	1	2	6	0	11	1	7	13	10	3	14	1	4	4	2	2	8	3	9	4	5	0	4	5	2	5	1	5	11	8	2	9	5	1	3	2	2	3	8	3	3	8	5	2	8	5	15	8	7	3	5	4	7	8	10	5	1	5	2	0	0	8	3	6	5	5	4	3
5232	7	5	2	9	4	1	3	11	8	4	5	4	4	4	6	11	8	3	8	6	6	4	3	1	6	5	5	5	6	0	6	6	8	0	3	0	9	4	4	1	9	4	0	12	3	3	5	5	8	2	4	10	6	7	3	7	1	11	5	9	5	3	5	2	2	0	5	13	0	3	2	10	5	2	7	6	7	11	8	4	5	2	9	3	3	2	6	5	10	3	7	5	6	8	8	4	5	6	8	8
5233	9	4	3	4	4	7	19	12	10	7	4	5	4	1	3	6	10	4	15	5	8	9	3	2	7	3	8	6	4	0	3	2	7	0	8	0	11	2	6	2	6	5	5	10	17	2	7	6	4	3	4	1	12	4	7	3	1	8	4	1	6	4	3	6	1	1	4	8	4	1	4	7	3	2	12	0	3	4	5	9	11	10	5	7	6	1	4	1	11	4	1	8	3	8	3	7	5	2	2	8
5234	6	6	1	12	2	6	6	14	10	11	2	1	1	0	5	10	7	5	3	3	7	8	3	10	4	9	6	6	3	0	2	2	6	0	6	1	9	6	5	2	11	7	3	10	10	2	11	12	5	0	2	3	5	7	6	2	0	9	9	1	8	7	4	4	1	2	3	10	2	8	4	11	11	6	11	3	3	0	7	8	7	6	6	5	3	1	2	2	13	9	5	8	2	4	3	6	4	3	6	8
5238	2	6	5	3	9	4	5	5	7	8	2	3	8	5	5	11	5	0	4	4	10	3	4	7	3	3	6	7	10	2	6	3	7	9	0	4	9	11	5	5	7	3	4	2	3	7	9	2	2	2	8	4	2	4	9	6	0	5	9	2	4	3	1	0	2	4	9	6	5	6	0	5	6	5	1	3	3	5	12	0	2	4	6	4	6	1	8	7	6	6	2	4	5	10	5	4	6	4	5	3
5242	5	4	7	5	4	6	3	1	3	7	8	2	8	2	3	6	9	3	6	6	3	7	8	6	8	10	11	4	3	3	2	7	7	3	6	1	4	6	2	10	4	1	8	5	8	4	0	0	4	6	11	2	8	5	3	9	2	14	3	1	4	5	2	5	4	4	8	0	4	5	6	3	13	2	5	0	8	9	8	6	6	7	7	2	3	1	2	2	4	9	5	3	1	8	0	4	2	4	5	6
5246	7	6	6	4	3	8	15	2	4	6	2	4	2	7	10	4	10	4	9	4	3	4	4	3	4	6	6	4	9	1	5	6	5	7	3	0	2	7	7	3	4	5	9	2	9	3	9	2	5	7	5	7	4	4	4	2	0	7	1	5	8	3	0	6	9	1	10	3	5	1	2	8	12	11	5	1	2	13	5	6	9	1	2	9	1	8	0	1	2	4	8	1	5	8	4	3	0	3	8	8
5247	6	5	10	3	7	0	6	9	8	2	7	3	13	4	12	12	6	0	10	6	1	13	7	2	0	0	4	4	6	3	6	2	0	4	2	12	7	12	11	1	15	9	4	7	9	7	7	3	1	9	4	11	1	6	5	2	4	10	6	3	13	5	1	5	3	2	4	3	5	11	4	10	2	4	6	4	6	3	4	3	6	8	5	6	4	2	5	4	13	7	4	6	2	6	11	6	5	6	5	3
5249	3	6	5	6	3	3	11	2	2	2	12	3	5	0	2	6	6	1	4	5	3	2	17	4	4	2	11	5	7	2	9	8	9	3	3	5	5	1	7	5	4	2	6	4	9	4	0	3	9	7	9	4	3	3	11	5	3	6	10	5	4	4	0	5	2	2	4	2	2	1	0	9	5	1	0	2	7	1	11	5	6	5	4	8	7	3	2	6	4	3	6	6	6	8	4	5	1	4	5	5
5250	2	2	5	3	3	2	8	4	8	2	12	2	5	2	1	4	4	2	5	7	6	5	4	3	7	3	7	4	7	3	3	7	8	2	8	3	1	2	6	4	5	3	11	6	6	4	0	3	14	7	8	6	9	4	7	3	9	8	7	4	5	4	1	4	3	3	12	8	3	1	4	14	3	2	4	2	7	1	9	7	10	5	5	8	8	6	2	3	5	3	3	5	3	4	6	4	0	5	11	4
5251	10	9	9	8	8	0	8	2	2	2	8	3	1	4	7	3	3	2	6	7	4	9	8	4	1	3	5	6	5	6	3	3	5	1	5	13	8	11	4	2	9	2	4	6	9	6	7	7	5	2	9	6	7	4	6	3	5	7	3	4	10	11	0	4	2	7	3	4	0	2	4	6	2	6	2	7	4	3	5	3	5	1	8	6	2	7	7	5	10	7	2	5	0	7	8	3	5	8	2	5
5255	11	5	6	3	7	4	13	4	2	3	2	6	2	6	3	2	5	5	2	3	7	9	3	1	0	0	3	8	5	2	3	5	3	5	1	0	8	5	6	6	6	1	5	1	11	2	5	3	6	10	8	8	2	12	3	4	0	11	3	3	7	7	0	7	7	7	7	6	5	2	1	6	7	4	4	8	6	10	6	1	10	6	0	11	2	8	1	1	4	5	5	4	0	2	2	3	1	8	8	6
5256	5	5	13	6	7	8	5	7	6	6	4	6	2	5	5	3	5	4	7	3	5	7	3	3	0	3	2	10	4	1	3	8	1	5	7	0	6	9	4	3	5	6	3	2	14	1	4	1	8	10	7	4	2	13	3	3	0	5	4	3	11	6	0	4	4	4	7	5	4	3	7	8	2	9	4	4	1	7	11	3	9	4	3	15	10	4	1	3	1	6	5	3	3	4	3	0	5	7	10	6
5259	6	0	7	0	3	0	9	4	2	6	1	4	3	10	4	4	3	3	7	1	7	1	6	0	4	7	5	3	6	1	4	7	3	6	5	0	1	7	2	2	6	8	2	3	9	12	4	1	8	9	6	6	3	5	2	2	0	12	0	7	5	7	0	6	8	3	2	8	4	2	4	4	6	3	2	2	7	2	7	4	10	0	0	5	9	5	2	2	5	5	5	3	3	0	2	8	4	9	9	5
5260	7	2	7	3	6	4	8	5	4	5	3	6	3	4	5	6	3	3	8	0	4	1	5	1	6	3	4	5	3	0	3	7	4	4	1	0	1	6	2	2	7	4	3	3	8	5	13	0	6	6	9	8	2	5	10	7	0	8	2	10	6	7	0	5	7	6	4	4	9	2	2	5	5	8	6	1	6	5	8	4	6	0	4	10	4	4	7	3	2	7	6	2	3	5	5	4	3	12	4	8
5264	4	9	2	1	4	3	5	1	7	7	7	6	3	2	8	10	7	1	5	5	3	11	7	4	3	3	9	12	6	9	6	1	6	6	2	2	8	9	6	11	4	4	0	2	7	10	8	6	5	8	4	4	3	9	6	4	0	5	3	2	4	5	0	6	3	4	8	2	8	4	1	14	11	8	0	3	3	4	3	2	6	2	9	6	8	4	9	4	5	7	2	4	5	4	8	8	13	5	5	6
5267	7	9	3	4	2	3	9	9	7	2	10	4	10	2	9	6	6	1	7	7	5	5	2	7	2	4	9	13	10	4	7	3	5	3	6	14	11	11	8	2	11	4	2	9	7	18	7	7	5	3	10	8	2	1	13	5	0	12	5	2	5	3	3	1	0	1	4	8	3	9	5	11	4	3	10	4	7	7	5	0	3	8	8	4	6	5	16	3	3	6	6	7	2	14	5	8	3	5	5	3
5269	10	9	4	3	4	0	8	4	6	8	6	5	1	5	3	11	0	0	6	6	3	5	12	2	0	0	13	8	2	0	7	1	0	6	4	14	8	8	2	2	3	11	3	7	9	8	9	3	4	5	4	3	11	3	9	2	1	7	9	2	3	7	3	2	1	9	8	2	3	6	1	4	4	4	1	4	2	6	7	15	8	5	7	2	3	0	5	5	10	7	2	6	5	10	8	5	9	3	4	3
5274	4	5	2	5	1	10	7	8	6	7	6	0	1	0	3	8	3	7	12	6	12	13	2	9	4	5	7	8	4	0	7	3	10	7	2	0	14	4	4	2	1	5	5	6	12	1	3	9	8	3	6	5	10	3	4	8	0	8	4	1	6	6	5	3	1	0	7	11	5	9	3	8	8	10	4	4	6	3	13	7	9	3	4	1	5	2	5	3	6	2	3	9	0	11	0	12	1	1	5	4
5281	12	1	9	1	5	2	9	7	3	4	12	2	5	3	2	3	1	5	4	11	2	3	3	5	0	4	16	8	3	4	8	3	3	2	4	6	0	4	4	8	5	9	2	7	8	6	2	6	4	6	5	5	6	4	18	5	3	2	3	2	5	10	4	6	1	0	14	3	6	6	2	4	1	5	7	2	3	3	3	10	10	0	7	4	4	7	7	3	4	4	5	4	2	13	10	10	6	11	3	1
5285	8	4	5	7	9	6	8	3	3	10	4	3	0	5	4	8	0	5	3	5	9	5	1	4	2	9	7	9	3	1	4	1	12	0	0	1	9	2	2	4	8	7	0	2	4	7	7	5	4	0	11	1	9	9	1	6	6	4	0	2	8	6	3	6	8	4	3	2	1	9	4	7	3	5	4	8	1	8	4	1	1	7	6	0	5	2	2	0	3	3	5	4	2	7	0	8	2	5	8	0
5296	12	5	6	6	3	0	10	0	12	1	4	3	4	2	4	5	1	10	10	6	8	7	2	4	1	5	8	5	5	4	5	5	8	10	0	0	4	5	5	4	10	9	2	3	4	8	3	6	5	9	5	5	12	3	3	3	7	9	5	8	13	2	1	6	3	1	6	1	4	4	8	5	2	1	5	5	9	10	2	5	3	7	12	4	7	0	9	3	10	3	0	9	2	12	3	5	4	2	8	4
5299	10	7	5	3	4	1	7	6	3	5	3	0	1	9	6	9	5	7	6	5	6	3	7	4	2	0	7	10	8	1	3	4	2	0	3	0	5	6	4	5	10	11	1	9	11	5	8	1	1	5	3	9	14	3	5	5	4	14	7	4	6	8	4	1	13	1	9	8	3	3	8	3	4	9	1	6	6	5	9	13	5	2	7	6	10	6	4	4	2	0	2	11	10	4	7	10	4	1	6	3
5300	9	4	9	6	2	4	5	14	3	4	5	0	1	1	9	10	1	4	10	7	6	5	7	1	6	0	5	8	11	3	8	3	1	4	2	0	5	6	3	10	10	6	4	7	6	5	4	3	3	4	4	5	6	2	4	1	6	12	7	9	3	9	2	3	3	2	10	6	6	7	1	6	5	7	2	8	5	5	1	3	3	10	9	7	6	3	7	4	0	3	5	6	4	7	4	8	12	3	11	4
5303	16	5	9	5	4	0	11	2	9	1	11	6	3	13	1	4	4	6	11	10	4	13	6	1	0	3	9	7	6	1	7	3	6	3	4	4	6	12	4	6	5	7	1	2	9	6	1	10	2	4	6	14	11	10	5	6	2	10	6	1	16	2	3	9	5	1	1	5	6	7	2	4	17	4	4	2	0	9	11	5	0	5	14	5	2	2	6	1	2	4	6	4	1	14	4	3	3	3	2	7
5308	6	5	2	5	8	2	1	8	9	6	7	10	7	0	7	1	7	5	10	6	3	7	4	9	1	5	11	9	8	2	7	3	7	4	9	0	6	3	6	11	8	4	3	8	10	1	3	6	4	7	11	4	5	10	9	11	3	11	5	3	8	11	3	8	2	2	6	11	7	3	3	8	3	7	3	7	3	6	7	4	7	8	8	3	4	0	0	6	6	5	2	7	3	7	1	10	7	3	3	2
5311	9	16	7	7	0	6	6	13	11	2	4	5	5	0	7	4	7	2	5	12	3	19	4	6	5	5	9	5	4	1	1	5	7	3	6	1	5	2	4	3	7	2	5	13	7	1	8	8	6	1	16	9	11	10	4	4	2	6	6	2	8	2	3	6	2	1	10	3	2	1	8	10	6	8	3	4	4	5	7	2	9	11	9	5	5	0	4	7	9	7	0	7	5	8	3	5	2	5	1	9
5313	7	6	5	12	8	0	7	11	7	3	4	3	2	4	3	4	9	3	12	10	9	6	8	1	6	4	5	8	5	4	12	2	4	4	0	4	8	5	4	0	4	1	3	13	5	4	1	2	8	9	3	8	11	8	4	3	2	13	7	2	5	3	3	2	4	2	5	2	5	3	4	8	7	4	10	1	6	7	3	3	6	3	4	3	6	3	8	1	4	5	0	4	6	6	4	4	3	6	1	9
5314	5	7	3	12	4	8	7	8	12	3	1	6	7	1	2	1	5	3	6	5	6	3	4	3	2	2	6	9	6	3	12	1	5	5	0	2	9	2	7	0	6	5	4	5	2	6	5	9	14	12	4	6	10	1	5	7	3	5	6	4	0	4	1	3	7	1	6	9	2	4	7	10	4	5	2	5	4	5	1	5	8	6	12	0	5	3	5	5	8	10	0	7	8	12	7	5	4	4	8	7
5316	7	7	6	4	2	3	7	5	14	3	5	2	4	8	6	6	7	4	9	5	6	2	9	2	4	2	9	7	10	0	13	8	11	0	9	0	9	6	5	2	9	1	3	9	2	5	5	2	4	2	3	5	8	5	3	4	3	7	4	10	7	5	5	4	2	2	1	8	3	6	2	8	5	7	2	7	5	9	7	10	5	6	4	4	5	3	3	3	4	5	3	5	7	11	4	4	6	3	8	7
5317	1	5	4	5	10	2	7	0	3	7	3	6	5	8	2	5	8	5	3	1	8	13	6	4	0	4	10	3	4	6	2	5	0	2	7	0	3	6	3	1	5	4	4	3	5	4	8	5	5	13	6	8	9	11	6	2	4	3	15	2	3	7	1	9	6	5	6	5	7	11	4	6	4	4	3	2	1	8	13	0	6	3	8	6	16	4	7	2	9	3	6	1	2	16	3	8	1	8	11	1
5318	3	2	10	3	3	3	5	1	2	10	2	6	0	4	1	5	5	7	1	3	5	3	9	3	0	7	11	3	7	4	2	2	4	3	10	2	2	0	8	3	3	7	8	7	7	1	1	4	7	6	7	6	0	8	4	7	5	5	11	3	4	7	0	12	6	4	9	2	6	4	2	6	7	5	10	3	5	10	14	3	7	1	6	10	4	3	4	2	6	2	1	2	3	9	8	4	3	7	8	6
5321	11	6	6	4	2	5	10	7	3	3	11	5	4	5	4	4	1	4	3	10	3	2	5	7	5	7	9	7	9	2	2	5	3	2	5	4	5	10	0	8	5	9	6	7	7	3	11	0	5	7	4	4	10	5	1	2	4	9	7	4	6	9	0	0	3	0	8	5	7	6	8	2	4	6	1	1	9	1	5	2	8	5	10	3	5	1	9	5	3	2	5	12	6	6	4	8	5	1	2	13
